-Total- ATOMI: 1702 SCORIE: 1588 SCISSIONI: 1695 ENERGIA PRODOTTA:8548863 ENERGIA CONSUMATA: 8550000 ENERGIA ASSORBITA: 8444521

pid: 5203, parent pid: 5098, scoria: 1, inibito: 0
pid: 5205, parent pid: 4979, scoria: 1, inibito: 0
pid: 5206, parent pid: 4933, scoria: 1, inibito: 0
pid: 5207, parent pid: 4843, scoria: 1, inibito: 0
pid: 5208, parent pid: 5035, scoria: 1, inibito: 0
pid: 5209, parent pid: 5026, scoria: 1, inibito: 0
pid: 5210, parent pid: 4911, scoria: 1, inibito: 0
pid: 5211, parent pid: 5122, scoria: 1, inibito: 0
pid: 5212, parent pid: 4829, scoria: 1, inibito: 0
pid: 5213, parent pid: 5113, scoria: 1, inibito: 0
pid: 5216, parent pid: 4990, scoria: 1, inibito: 0
pid: 5215, parent pid: 4950, scoria: 1, inibito: 0
pid: 5214, parent pid: 5088, scoria: 1, inibito: 0
pid: 5219, parent pid: 4889, scoria: 1, inibito: 0
pid: 5217, parent pid: 5215, scoria: 1, inibito: 0
pid: 5218, parent pid: 5118, scoria: 1, inibito: 0
pid: 5221, parent pid: 4992, scoria: 1, inibito: 0
pid: 5220, parent pid: 4897, scoria: 1, inibito: 0
pid: 5222, parent pid: 4955, scoria: 1, inibito: 0
pid: 5224, parent pid: 4937, scoria: 1, inibito: 0
pid: 5225, parent pid: 5121, scoria: 1, inibito: 0
pid: 5223, parent pid: 5214, scoria: 1, inibito: 0
pid: 5227, parent pid: 5177, scoria: 1, inibito: 0
pid: 5226, parent pid: 5007, scoria: 1, inibito: 0
pid: 5228, parent pid: 4846, scoria: 1, inibito: 0
pid: 5229, parent pid: 4837, scoria: 1, inibito: 0
pid: 5230, parent pid: 5087, scoria: 1, inibito: 0
pid: 5233, parent pid: 4907, scoria: 1, inibito: 0
pid: 5231, parent pid: 4903, scoria: 1, inibito: 0
pid: 5232, parent pid: 5084, scoria: 1, inibito: 0
pid: 5235, parent pid: 5194, scoria: 1, inibito: 0
pid: 5236, parent pid: 5104, scoria: 1, inibito: 0
pid: 5234, parent pid: 4812, scoria: 1, inibito: 0
pid: 5238, parent pid: 4838, scoria: 1, inibito: 0
pid: 5237, parent pid: 5170, scoria: 1, inibito: 0
pid: 5239, parent pid: 4815, scoria: 1, inibito: 0
pid: 5240, parent pid: 5228, scoria: 1, inibito: 0
pid: 5242, parent pid: 4860, scoria: 1, inibito: 0
pid: 5241, parent pid: 5026, scoria: 1, inibito: 0
pid: 5244, parent pid: 5030, scoria: 1, inibito: 0
pid: 5245, parent pid: 4994, scoria: 1, inibito: 0
pid: 5243, parent pid: 5148, scoria: 1, inibito: 0
pid: 5246, parent pid: 5234, scoria: 1, inibito: 0
pid: 5247, parent pid: 5165, scoria: 1, inibito: 0
pid: 5248, parent pid: 5088, scoria: 1, inibito: 0
pid: 5249, parent pid: 4914, scoria: 1, inibito: 0
pid: 5250, parent pid: 5082, scoria: 1, inibito: 0
pid: 5251, parent pid: 5033, scoria: 1, inibito: 0
pid: 5254, parent pid: 4967, scoria: 1, inibito: 0
pid: 5253, parent pid: 5178, scoria: 1, inibito: 0
pid: 5252, parent pid: 4885, scoria: 1, inibito: 0
pid: 5256, parent pid: 4878, scoria: 1, inibito: 0
pid: 5255, parent pid: 4965, scoria: 1, inibito: 0
pid: 5259, parent pid: 5062, scoria: 1, inibito: 0
pid: 5257, parent pid: 0, scoria: 0, inibito: 0
pid: 5258, parent pid: 5014, scoria: 1, inibito: 0
pid: 5261, parent pid: 5003, scoria: 0, inibito: 0
pid: 5262, parent pid: 5186, scoria: 1, inibito: 0
pid: 5264, parent pid: 5232, scoria: 1, inibito: 0
pid: 5265, parent pid: 5250, scoria: 1, inibito: 0
pid: 5263, parent pid: 4857, scoria: 1, inibito: 0
pid: 5266, parent pid: 4901, scoria: 1, inibito: 0
pid: 5267, parent pid: 4806, scoria: 0, inibito: 0
pid: 5268, parent pid: 4933, scoria: 1, inibito: 0
